problem,task_idx,seed,best_cost,best_cv,conv_file,conv_cv_file,bestx_file
CMT1,0,0,2.8071188514526666,0.0,results/CMT1/CMT1_seed0_20251123T073516Z_conv.npy,results/CMT1/CMT1_seed0_20251123T073516Z_conv_cv.npy,results/CMT1/CMT1_seed0_20251123T073516Z_bestx.npy
CMT1,1,0,4329.972543494266,0.0,results/CMT1/CMT1_seed0_20251123T073516Z_conv.npy,results/CMT1/CMT1_seed0_20251123T073516Z_conv_cv.npy,results/CMT1/CMT1_seed0_20251123T073516Z_bestx.npy
CMT1,0,1,4.032379748179766,0.0,results/CMT1/CMT1_seed1_20251123T073517Z_conv.npy,results/CMT1/CMT1_seed1_20251123T073517Z_conv_cv.npy,results/CMT1/CMT1_seed1_20251123T073517Z_bestx.npy
CMT1,1,1,3271.574238663991,0.0,results/CMT1/CMT1_seed1_20251123T073517Z_conv.npy,results/CMT1/CMT1_seed1_20251123T073517Z_conv_cv.npy,results/CMT1/CMT1_seed1_20251123T073517Z_bestx.npy
CMT1,0,2,5.144621671107052,0.0,results/CMT1/CMT1_seed2_20251123T073517Z_conv.npy,results/CMT1/CMT1_seed2_20251123T073517Z_conv_cv.npy,results/CMT1/CMT1_seed2_20251123T073517Z_bestx.npy
CMT1,1,2,3404.559552226021,0.0,results/CMT1/CMT1_seed2_20251123T073517Z_conv.npy,results/CMT1/CMT1_seed2_20251123T073517Z_conv_cv.npy,results/CMT1/CMT1_seed2_20251123T073517Z_bestx.npy
CMT1,0,3,4.572106831114515,0.0,results/CMT1/CMT1_seed3_20251123T073517Z_conv.npy,results/CMT1/CMT1_seed3_20251123T073517Z_conv_cv.npy,results/CMT1/CMT1_seed3_20251123T073517Z_bestx.npy
CMT1,1,3,3560.118617142778,0.0,results/CMT1/CMT1_seed3_20251123T073517Z_conv.npy,results/CMT1/CMT1_seed3_20251123T073517Z_conv_cv.npy,results/CMT1/CMT1_seed3_20251123T073517Z_bestx.npy
CMT1,0,4,4.524688272068742,0.0,results/CMT1/CMT1_seed4_20251123T073518Z_conv.npy,results/CMT1/CMT1_seed4_20251123T073518Z_conv_cv.npy,results/CMT1/CMT1_seed4_20251123T073518Z_bestx.npy
CMT1,1,4,4020.4064787556185,0.0,results/CMT1/CMT1_seed4_20251123T073518Z_conv.npy,results/CMT1/CMT1_seed4_20251123T073518Z_conv_cv.npy,results/CMT1/CMT1_seed4_20251123T073518Z_bestx.npy
